(array([-1.,  1., -1.,  1.,  1.]), 6.0, 6.249999668109545)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 5.999999839344583)
(array([ 1.,  1., -1., -1., -1.]), 5.0, 5.999999839344583)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 6.249999975766335)
(array([ 1.,  1.,  1., -1., -1.]), 5.0, 5.185485952471456)
(array([-1., -1.,  1.,  1., -1.]), 5.0, 5.185485952471455)
(array([-1., -1., -1.,  1., -1.]), 4.0, 6.2499999757663325)
(array([-1.,  1., -1.,  1., -1.]), 6.0, 5.999999839344584)
(array([-1.,  1.,  1., -1.,  1.]), 5.0, 5.432257832397838)
(array([ 1., -1.,  1., -1.,  1.]), 6.0, 5.999999998589182)
(array([-1.,  1., -1.,  1.,  1.]), 5.0, 4.999999808183642)
(array([ 1., -1., -1.,  1.,  1.]), 5.0, 5.999999839344584)
(array([ 1.,  1., -1.,  1., -1.]), 6.0, 6.249999975766334)
(array([-1., -1., -1.,  1., -1.]), 4.0, 6.249999979775541)
(array([-1.,  1., -1., -1.,  1.]), 4.0, 4.249999982885305)
(array([-1., -1.,  1.,  1., -1.]), 5.0, 4.999999779732646)
(array([ 1.,  1., -1., -1., -1.]), 5.0, 4.999999977702119)
(array([ 1., -1.,  1.,  1., -1.]), 5.0, 4.999999808183645)
(array([ 1., -1., -1.,  1., -1.]), 6.0, 6.249999975766334)
(array([ 1.,  1., -1., -1.,  1.]), 5.0, 5.4322578323978385)
(array([-1.,  1., -1.,  1.,  1.]), 4.0, 4.499999932292255)
(array([-1., -1.,  1.,  1.,  1.]), 5.0, 4.999999977702117)
(array([-1.,  1.,  1., -1., -1.]), 5.0, 5.999999839344585)
(array([ 1., -1., -1.,  1., -1.]), 3.0, 2.999999978301764)
(array([ 1.,  1.,  1., -1., -1.]), 5.0, 5.1854859524714545)
(array([-1.,  1.,  1.,  1., -1.]), 6.0, 6.249999975766334)
(array([ 1.,  1.,  1., -1.,  1.]), 3.0, 3.999999942363904)
(array([-1.,  1.,  1., -1., -1.]), 5.0, 5.4322578323978385)
(array([ 1.,  1.,  1., -1., -1.]), 5.0, 4.9999997380645524)
(array([ 1., -1., -1., -1.,  1.]), 6.0, 5.999999839344582)
(array([ 1., -1.,  1., -1.,  1.]), 6.0, 6.249999979775542)
(array([-1., -1., -1.,  1.,  1.]), 6.0, 5.999999839344586)
(array([ 1.,  1., -1., -1., -1.]), 6.0, 5.999999839344585)
(array([-1.,  1., -1., -1.,  1.]), 5.0, 5.999999839344582)
(array([ 1.,  1., -1., -1., -1.]), 5.0, 5.1854859524714545)
(array([-1.,  1., -1., -1.,  1.]), 5.0, 4.999999977702119)
(array([ 1.,  1., -1.,  1., -1.]), 5.0, 5.999999839344584)
(array([-1., -1.,  1., -1.,  1.]), 5.0, 5.432257832397839)
(array([ 1., -1.,  1.,  1., -1.]), 6.0, 6.249999979775539)
(array([-1.,  1., -1.,  1.,  1.]), 4.0, 4.5225424693869964)
(array([-1.,  1., -1.,  1., -1.]), 6.0, 5.999999839344584)
(array([-1., -1.,  1., -1., -1.]), 4.0, 4.999999808183644)
(array([ 1., -1.,  1.,  1.,  1.]), 4.0, 6.249999975766334)
(array([-1., -1., -1.,  1.,  1.]), 6.0, 5.999999919181522)
(array([-1., -1., -1.,  1.,  1.]), 5.0, 5.4322578323978385)
(array([ 1.,  1., -1., -1.,  1.]), 6.0, 6.249999975766334)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 6.249999979775542)
(array([ 1., -1.,  1.,  1., -1.]), 5.0, 5.999999919181522)
(array([-1.,  1., -1.,  1.,  1.]), 6.0, 5.999999919181523)
(array([ 1., -1., -1., -1.,  1.]), 6.0, 6.249999979775541)
(array([-1.,  1.,  1., -1., -1.]), 6.0, 6.2499999757663325)
(array([-1., -1.,  1., -1.,  1.]), 5.0, 5.999999839344584)
(array([ 1., -1., -1.,  1., -1.]), 6.0, 6.249999975766334)
(array([-1.,  1., -1., -1., -1.]), 4.0, 6.24999997977554)
(array([-1., -1., -1., -1.,  1.]), 4.0, 4.999999808183645)
(array([ 1., -1.,  1., -1., -1.]), 5.0, 5.999999839344582)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 6.249999975766335)
(array([-1.,  1., -1.,  1.,  1.]), 5.0, 4.999999977702117)
(array([ 1., -1., -1., -1.,  1.]), 6.0, 5.999999839344582)
(array([-1., -1.,  1.,  1.,  1.]), 6.0, 6.2499999797755414)
(array([-1.,  1., -1.,  1.,  1.]), 6.0, 6.24999997977554)
(array([-1., -1., -1.,  1., -1.]), 4.0, 4.999999808183645)
(array([-1., -1.,  1.,  1., -1.]), 5.0, 5.4322578323978385)
(array([-1., -1.,  1.,  1.,  1.]), 4.0, 3.9999999965516406)
(array([ 1., -1., -1.,  1.,  1.]), 4.0, 4.999999779732646)
(array([-1., -1., -1., -1.,  1.]), 4.0, 6.249999975766334)
(array([ 1., -1.,  1., -1.,  1.]), 4.0, 4.999999738064551)
(array([ 1., -1., -1.,  1.,  1.]), 5.0, 4.999999779732645)
(array([-1., -1., -1.,  1., -1.]), 4.0, 6.24999997977554)
(array([-1.,  1.,  1.,  1.,  1.]), 4.0, 6.2499999757663325)
(array([ 1.,  1., -1.,  1., -1.]), 4.0, 4.999999808183644)
(array([-1., -1.,  1.,  1., -1.]), 5.0, 4.999999738064552)
(array([-1.,  1., -1.,  1., -1.]), 5.0, 4.999999738064554)
(array([-1.,  1., -1., -1., -1.]), 4.0, 6.249999975766334)
(array([-1.,  1., -1.,  1., -1.]), 5.0, 5.432257832397838)
(array([-1.,  1., -1.,  1.,  1.]), 5.0, 4.999999977702118)
(array([ 1., -1., -1., -1., -1.]), 4.0, 4.999999808183643)
(array([-1.,  1., -1., -1., -1.]), 4.0, 6.249999975766334)
(array([ 1., -1.,  1.,  1., -1.]), 5.0, 5.4322578323978385)
(array([-1.,  1.,  1., -1.,  1.]), 6.0, 5.999999919181522)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 5.999999998589183)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 5.999999839344583)
(array([-1., -1., -1.,  1.,  1.]), 4.0, 4.999999738064553)
(array([-1.,  1., -1.,  1., -1.]), 5.0, 4.999999977702117)
(array([ 1., -1.,  1.,  1.,  1.]), 4.0, 6.249999975766334)
(array([-1., -1., -1.,  1.,  1.]), 6.0, 5.999999919181523)
(array([ 1., -1.,  1., -1.,  1.]), 4.0, 4.2499999666014014)
(array([-1.,  1.,  1., -1.,  1.]), 4.0, 4.499999932292256)
(array([-1., -1.,  1.,  1., -1.]), 5.0, 5.185485952471456)
(array([ 1., -1.,  1.,  1., -1.]), 3.0, 2.9999999986217456)
(array([ 1., -1., -1.,  1.,  1.]), 3.0, 2.9999999957298358)
(array([-1.,  1.,  1., -1., -1.]), 6.0, 5.999999839344587)
(array([-1., -1.,  1., -1.,  1.]), 6.0, 6.249999975766334)
(array([ 1., -1.,  1., -1.,  1.]), 6.0, 6.249999975766334)
(array([-1.,  1.,  1., -1.,  1.]), 6.0, 5.999999998589184)
(array([-1., -1.,  1., -1.,  1.]), 4.0, 4.999999808183647)
(array([ 1.,  1., -1., -1., -1.]), 6.0, 6.249999668109545)
(array([-1.,  1.,  1.,  1., -1.]), 4.0, 3.9999998935488073)
(array([-1.,  1., -1.,  1.,  1.]), 4.0, 3.9999999848289187)
(array([-1., -1.,  1., -1.,  1.]), 5.0, 5.999999919181522)
(array([-1.,  1.,  1., -1.,  1.]), 4.0, 4.99999973806455)
(array([-1., -1.,  1.,  1., -1.]), 6.0, 6.249999979775538)
(array([-1.,  1.,  1., -1., -1.]), 6.0, 5.999999998589182)
(array([-1.,  1.,  1., -1., -1.]), 5.0, 5.999999839344582)
(array([ 1., -1.,  1.,  1., -1.]), 6.0, 5.999999919181523)
(array([-1.,  1.,  1., -1., -1.]), 4.0, 4.2499997450798395)
(array([ 1., -1., -1., -1.,  1.]), 5.0, 5.9999999191815245)
(array([ 1.,  1., -1., -1., -1.]), 5.0, 5.185485952471458)
(array([ 1.,  1., -1.,  1., -1.]), 4.0, 3.9999998935488073)
(array([-1.,  1.,  1.,  1., -1.]), 3.0, 3.999999996551639)
(array([ 1., -1., -1., -1., -1.]), 4.0, 6.249999979775538)
(array([ 1.,  1., -1.,  1., -1.]), 5.0, 5.999999839344584)
(array([-1.,  1., -1., -1., -1.]), 4.0, 5.4322578323978385)
(array([-1., -1., -1.,  1.,  1.]), 3.0, 3.999999942363904)
(array([ 1., -1., -1., -1.,  1.]), 5.0, 5.9999999191815245)
(array([-1., -1.,  1.,  1.,  1.]), 6.0, 6.249999975766334)
(array([-1.,  1.,  1., -1.,  1.]), 5.0, 5.99999983934458)
(array([ 1., -1., -1., -1.,  1.]), 5.0, 5.432257832397839)
(array([ 1., -1.,  1.,  1., -1.]), 6.0, 6.249999979775538)
(array([-1.,  1., -1., -1.,  1.]), 4.0, 4.499999932292257)
(array([-1.,  1., -1.,  1.,  1.]), 5.0, 5.999999919181523)
(array([ 1., -1.,  1.,  1., -1.]), 6.0, 6.249999979775538)
(array([-1., -1., -1.,  1., -1.]), 4.0, 6.249999975766334)
(array([ 1.,  1., -1., -1., -1.]), 4.0, 3.9999999423639068)
(array([ 1., -1., -1.,  1.,  1.]), 5.0, 5.999999839344584)
(array([-1., -1., -1.,  1.,  1.]), 5.0, 5.432257832397838)
