,0,1
0,"[0, 3, 1, 2]",17.0
1,"[0, 3, 1, 2]",19.0
2,"[0, 2, 3, 1]",11.0
3,"[0, 2, 3, 1]",10.0
4,"[0, 3, 2, 1]",21.0
5,"[0, 3, 2, 1]",12.0
6,"[0, 3, 2, 1]",17.0
7,"[0, 3, 2, 1]",13.0
8,"[0, 2, 3, 1]",19.0
9,"[0, 3, 2, 1]",19.0
10,"[0, 2, 3, 1]",14.0
11,"[0, 2, 3, 1]",18.0
12,"[0, 2, 3, 1]",19.0
13,"[0, 3, 1, 2]",18.0
14,"[0, 3, 1, 2]",14.0
15,"[0, 3, 2, 1]",12.0
16,"[0, 3, 1, 2]",17.0
17,"[0, 2, 3, 1]",18.0
18,"[0, 2, 3, 1]",16.0
19,"[0, 2, 3, 1]",19.0
20,"[0, 3, 2, 1]",21.0
21,"[0, 3, 1, 2]",21.0
22,"[0, 2, 3, 1]",16.0
23,"[0, 3, 2, 1]",20.0
24,"[0, 2, 3, 1]",16.0
25,"[0, 3, 1, 2]",7.0
26,"[0, 3, 2, 1]",21.0
27,"[0, 3, 2, 1]",22.0
28,"[0, 3, 2, 1]",19.0
29,"[0, 3, 2, 1]",17.0
30,"[0, 2, 3, 1]",16.0
31,"[0, 2, 3, 1]",11.0
32,"[0, 2, 3, 1]",19.0
33,"[0, 2, 3, 1]",6.0
34,"[0, 3, 2, 1]",18.0
35,"[0, 3, 1, 2]",15.0
36,"[0, 3, 1, 2]",13.0
37,"[0, 2, 3, 1]",13.0
38,"[0, 3, 1, 2]",14.0
39,"[0, 2, 3, 1]",8.0
40,"[0, 3, 2, 1]",21.0
41,"[0, 3, 2, 1]",22.0
42,"[0, 2, 3, 1]",19.0
43,"[0, 2, 3, 1]",20.0
44,"[0, 2, 3, 1]",18.0
45,"[0, 2, 3, 1]",16.0
46,"[0, 3, 1, 2]",21.0
47,"[0, 2, 3, 1]",20.0
48,"[0, 3, 2, 1]",16.0
49,"[0, 3, 2, 1]",7.0
50,"[0, 3, 1, 2]",24.0
51,"[0, 2, 3, 1]",13.0
52,"[0, 2, 3, 1]",14.0
53,"[0, 3, 2, 1]",20.0
54,"[0, 3, 2, 1]",21.0
55,"[0, 3, 2, 1]",24.0
56,"[0, 3, 2, 1]",17.0
57,"[0, 3, 1, 2]",12.0
58,"[0, 2, 3, 1]",17.0
59,"[0, 3, 1, 2]",23.0
60,"[0, 3, 1, 2]",22.0
61,"[0, 3, 2, 1]",11.0
62,"[0, 2, 3, 1]",13.0
63,"[0, 3, 2, 1]",16.0
64,"[0, 2, 3, 1]",21.0
65,"[0, 2, 3, 1]",12.0
66,"[0, 3, 2, 1]",18.0
67,"[0, 3, 2, 1]",27.0
68,"[0, 2, 3, 1]",9.0
69,"[0, 2, 3, 1]",17.0
70,"[0, 2, 3, 1]",19.0
71,"[0, 2, 3, 1]",25.0
72,"[0, 3, 1, 2]",22.0
73,"[0, 3, 2, 1]",22.0
74,"[0, 3, 2, 1]",15.0
75,"[0, 2, 3, 1]",18.0
76,"[0, 2, 3, 1]",9.0
77,"[0, 2, 3, 1]",16.0
78,"[0, 3, 2, 1]",13.0
79,"[0, 2, 3, 1]",22.0
80,"[0, 3, 2, 1]",18.0
81,"[0, 3, 2, 1]",11.0
82,"[0, 3, 1, 2]",15.0
83,"[0, 2, 3, 1]",22.0
84,"[0, 2, 3, 1]",17.0
85,"[0, 3, 2, 1]",12.0
86,"[0, 3, 1, 2]",16.0
87,"[0, 3, 2, 1]",15.0
88,"[0, 3, 2, 1]",17.0
89,"[0, 2, 3, 1]",18.0
90,"[0, 3, 2, 1]",23.0
91,"[0, 3, 1, 2]",15.0
92,"[0, 3, 2, 1]",22.0
93,"[0, 3, 1, 2]",18.0
94,"[0, 3, 2, 1]",20.0
95,"[0, 3, 1, 2]",17.0
96,"[0, 2, 3, 1]",21.0
97,"[0, 2, 3, 1]",25.0
98,"[0, 3, 2, 1]",16.0
99,"[0, 2, 3, 1]",18.0
